n,m,Distribution,OPT,Plurality,Plurality Distortion,Copeland,Copeland Distortion,STV,STV Distortion,Borda,Borda Distortion,STAR,STAR Distortion
1000,15,normal,Candidate 1,Candidate 0,1.009338745429948,Candidate 1,1.0,Candidate 1,1.009338745429948,Candidate 1,1.0,False,False
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 3,1.035258335599158,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 1,1.1530446954175784,Candidate 3,1.0,Candidate 3,1.1530446954175784,Candidate 3,1.0,Candidate 2,1.0139860139860148
1000,15,normal,Candidate 1,Candidate 0,1.2276430007891472,Candidate 1,1.0,Candidate 1,1.1671588218822386,Candidate 4,1.0009673395616419,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 3,1.0404361343651283,Candidate 2,1.0,Candidate 2,1.0404361343651283,Candidate 3,1.0404361343651283,Candidate 1,1.097391757631419
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 0,1.0065821535034138,Candidate 3,1.0,Candidate 3,1.0065821535034138,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 2,1.027272345505701
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 3,1.0000518336140978,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 3,1.0617135225025855,Candidate 1,1.0,Candidate 1,1.0617135225025855,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 2,1.064953469387756,Candidate 1,1.0,Candidate 1,1.064953469387756,Candidate 0,1.0101224489795932,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 3,1.0790793279287911,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,False,False
1000,15,normal,Candidate 1,Candidate 2,1.2857053842367285,Candidate 1,1.0,Candidate 1,1.0,Candidate 0,1.0205873372921166,Candidate 1,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 2,1.013182706192135,Candidate 2,1.013182706192135
1000,15,normal,Candidate 2,Candidate 1,1.409376186944962,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 3,1.2555257504217914,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 0,1.3587767493884966,Candidate 1,1.0,Candidate 1,1.005518885897956,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 2,1.0148936953294632,Candidate 2,1.0148936953294632
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 2,1.0101280255201976,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 1,1.0018329875839864,Candidate 1,1.0018329875839864
1000,15,normal,Candidate 0,Candidate 4,1.1200976566158614,Candidate 0,1.0,Candidate 0,1.1024770063626659,Candidate 0,1.0,Candidate 1,1.1024770063626659
1000,15,normal,Candidate 2,Candidate 0,1.1381467186102507,Candidate 2,1.0,Candidate 2,1.1381467186102507,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0992104540327619,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 4,1.095911882034039,Candidate 0,1.0,Candidate 0,1.095911882034039,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 1,Candidate 4,1.029577192723306,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 0,1.0126545198898593,Candidate 3,1.0,Candidate 3,1.0126545198898593,Candidate 3,1.0,Candidate 4,1.0056893263290803
1000,15,normal,Candidate 1,Candidate 3,1.277618190406881,Candidate 1,1.0,Candidate 1,1.277618190406881,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 0,1.1406214359936118,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 3,1.2574329501915715,Candidate 0,1.0
1000,15,normal,Candidate 0,Candidate 4,1.2042465311390786,Candidate 0,1.0,Candidate 0,1.0366182639561157,Candidate 3,1.008454340109714,Candidate 1,1.0366182639561157
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 1,1.0237866587870268,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 3,1.0034479775572498,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 0,1.1133091538404911,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 2,Candidate 0,1.0542361788642525,Candidate 2,1.0,Candidate 2,1.0542361788642525,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 1,1.0192638550295254,Candidate 4,1.0,Candidate 4,1.0192638550295254,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 4,1.042505678483016
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 3,1.066994335221592
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 1,1.0771101076762775,Candidate 3,1.0,Candidate 3,1.0771101076762775,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 4,Candidate 3,1.2225444957152252,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 1,1.1557451176887532,Candidate 3,1.0,Candidate 3,1.1585315180993816,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 4,Candidate 3,1.0116753536857792,Candidate 4,1.0,Candidate 4,1.0116753536857792,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 4,1.0176423817841458,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 1,Candidate 0,1.2367189390496542,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 3,1.689310841416763,Candidate 4,1.0,Candidate 4,1.024577007746135,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 0,1.1808627107510377,Candidate 3,1.0,Candidate 3,1.103909690290247,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 2,1.1247085154135177,Candidate 3,1.0,Candidate 3,1.0,Candidate 0,1.0438367811349305,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 2,1.0229673128328178,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 2,1.1425455258449553,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 0,1.2802126460716816,Candidate 2,1.0,Candidate 2,1.00870917954874,Candidate 4,1.00870917954874,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 0,1.077567936406113
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 1,1.1079829953533795,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 0,Candidate 1,1.196717036727988,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 0,1.2696867287330076,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 4,1.3087495926632835,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 3,1.1028117871607481
1000,15,normal,Candidate 4,Candidate 3,1.0785713854931205,Candidate 4,1.0,Candidate 4,1.0,Candidate 0,1.0159941137801467,Candidate 0,1.0159941137801467
1000,15,normal,Candidate 0,Candidate 1,1.0957750444765835,Candidate 0,1.0,Candidate 0,1.0957750444765835,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 4,Candidate 0,1.0937234155678408,Candidate 4,1.0,Candidate 4,1.0937234155678408,Candidate 4,1.0,Candidate 2,1.0143821777966806
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 4,Candidate 3,1.142314096321196,Candidate 4,1.0,Candidate 4,1.142314096321196,Candidate 4,1.0,Candidate 2,1.037133611887782
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 1,1.0012679076416315,Candidate 1,1.0012679076416315
1000,15,normal,Candidate 1,Candidate 4,1.4814873494856915,Candidate 1,1.0,Candidate 1,1.0361843708867544,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0144890554106791
1000,15,normal,Candidate 1,Candidate 3,1.0560917958421727,Candidate 1,1.0,Candidate 1,1.014883057143039,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 3,1.0439296637948898
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
